,x
TB65,1
TN33-1,1
TB120,1
TB113-1,1
TB76,2
TB93-1,1
TB46,3
TB72,2
TB36,1
TN15,3
TB130,3
TB96-1,4
TN34-1,4
TB117,1
TB52,3
TB151,2
TB153,3
TB86-1,4
TN9,3
TB104-1,4
TB90-1,4
TB81,2
TN31,1
TB147,3
TB125,3
TB121,3
TB161,3
TB37,2
TB23,3
TB91-1,4
TB88-1,3
TB33,1
TB115-1,3
TB143,4
TB89-1,1
TN27,3
TB126,1
TB100-1,3
TB101-1,1
TB3,3
TB144,3
TB49,2
TB103-1,4
TB59,1
TB152,3
TB145,4
TB133,1
TB158,3
TB149,3
TB61,1
TB77,2
TB160,2
TB114-1,3
TB124,2
TN12,3
TN35-1,1
TB140-1,4
TN10,4
TB108-1,3
TB42,4
TB48,3
TN26,4
TB141-1,3
TB84,3
TB17,3
TB51,4
TN24,3
TB75,1
TB137-1,3
TB107-1,4
TB134,3
TB110-1,4
TB62,1
TN28,3
TB45,3
TB82,3
TN21,4
TB60,2
TN17,3
TB80,2
TB53,1
TB162,3
TB156,1
TB78,1
TB109-1,3
TB155,3
TB111-1,1
TB98-1,1
TB71,1
TB2,1
TB12,1
TB28,3
TB69,3
TB8,1
TN32,4
TB1,2
TB92-1,4
TB135,3
TB64,3
TB159,3
TB31,4
TB116,3
TB85-1,1
TB38,4
TB43,3
TB119,3
TB99-1,3
TB94-1,3
TB32,3
TB55,3
TB40,1
TB6,3
TB26,2
TB27,2
TB138-1,4
TB87-1,1
TB106-1,3
TB4,2
TB39,1
TB50,1
TB146,3
TB105-1,3
TB154,1
TB74,4
TB123,4
TB58,2
TB63,1
TB97-1,4
TN7,4
TB41,1
TB95-1,3
TB118,3
TB150,2
TB47,3
TB102-1,3
TB24,2
